Параметры лексем	Ижорский (сойкинский) [Nirvi]	Ижорский (сойкинский) [учебная]	Финский	Эстонский	Немецкий	Комментарии
int	a	a	no			
conj	a	a	mutta | kun taas			
n	aBi | api [Hev] [Ro] | apṕē [Ro]	aBi | api [Hev] [Ro] | app'ee [Ro]	apu	abi		
n	aBivoiska | aBivägi	apivoiska | apivägi	apuväki			
v	aBihua	apihua	onnistua			
			"sattua ""(tulemaan, olemaan, saamaan)"""			
v	apihus̆sa	apihussa	?	abi saada		
n	aBilain	apilain	apulainen			
n	aBinikka	apinikka	apuri | apulainen			
adv	aBoi	apoi	apo*1			*1: ovi on aBoi auGi — apo auki
pr n	ABoi	Apoi	Arhippa			
n	aBrik̆kōssi	aprikkoossi	aprikoosi			
n	abZorkka	absorkka	syöppö			
n	aBu	apu	apu			
n	aBulain	apulain	apulainen			
n	adjala | adijala | ad'jala	adjala | adijala | ad'jala	pumpulitäytteinen makuupeite			
n	adlassi	adlassi	atlas			
n	adra | at̆ra | aDra	adra | atra	sahrat	ader		
n	adressi	adressi	osoite			
n	aDria | at̆rē	atria | atree	ateria	söömaaeg		
				pidusöök		
pr n	ADu	Atu	Andrian			
n	aDvjorkka	atvjorkka	ruuvimeisseli			
n	a₍elia | ajelia	aelia | ajelia	ajelija			
			kiinniottaja lasten leikeissä			
v	a₍ella | ajella | aj̆ella	aella | ajella	ajella			
			pyytää saaliiksi			
			tavoitella			
			ottaa kiinni			
pr n	Agaffona	Agaffona	?			
adj	aGaniGaZ | ak̆kāna	akanikaz | akkaana	akanainen			
n	aGatšu(pū)	akatšu | akatšupuu	jokin puulaji			
n	aGonhammaZ	akonhammaz	pärepihti			
			verkonkorjausteline			
pr n	Agraffē	Agraffee	?			
adj	agrama∙tnoi	agramatnoi	?			tämä on veZerissam palura (= loppiaismyrsky), agrama∙tnoi tūli, sis kaiG vuh̭kā jokko paikka
int	ah	ah	ah			
int	ahah	ahah	?			ahah kerram pūDuiD miuŋ kättē!
adj	ahaZ	ahaz	ahdas			
n	ahassoZ	ahassoz	ahtaus			
v	ahavoja	ahavoja	ahavoida			
v	ahavoittā	ahavoittaa	?			"ahavoitti tulel kä₍eD [L-suu]; (Keväinen ahavatuuli) se ahavoittā kaikki, lohkō ne käet"
n	*ahe	ahe	?			rīhī on ahtiZ — ahdettuna
int	ahhah	ahhah	?			"""ahhah kun on makia kakku!"" (Alava)"
adj, n	ah̭̄h̭āva	ahhaava	kuivatuulinen | ahavainen | kuiva tuuli			
n	ahilo [Ro] | ahilōsse	ahilo [Ro] | ahiloosse	ahelaisse			
v	ahissella	ahissella	väkisin tarjoilla			
n	ahissoZ	ahissoz	?			Pienessä huonessä on ahissoZ
v	ahistā	ahistaa	"puristaa | likistää ""(Siemenvoita puristettiin pellavansiemenrouheista)"""			
