Параметры лексем	Ижорский (сойкинский) [Nirvi]	Ижорский (сойкинский) [учебная]	Финский	Эстонский	Немецкий	Комментарии
int	a	a	no			
conj	a	a	mutta | kun taas			
n	aBi | api [Hev] [Ro] | apṕē [Ro]	aBi | api | app'ee	apu	abi		
n	aBivoiska | aBivägi	apivoiska | apivägi	apuväki			
v	aBihua	apihua	onnistua			
			"sattua ""(tulemaan, olemaan, saamaan)"""			
v	apihus̆sa	apihussa	?	abi saada		
n	aBilain	apilain	apulainen			
n	aBinikka	apinikka	apuri | apulainen			
adv	aBoi	apoi	apo			
pr n	ABoi	Apoi	Arhippa			
n	aBrik̆kōssi	aprikkoossi	aprikoosi			
n	abZorkka	absorkka	syöppö			
n	aBu	apu	apu			
n	aBulain	apulain	apulainen			
n	adjala | adijala | ad'jala	adjala | adijala | ad'jala	pumpulitäytteinen makuupeite			
n	adlassi	adlassi	atlas			
n	adra | at̆ra | aDra	adra | atra | atra	sahrat	ader		
n	adressi	adressi	osoite			
n	aDria | at̆rē	atria | atree	ateria	söömaaeg		
				pidusöök		
pr n	ADu	Atu	Andrian			
n	aDvjorkka	atvjorkka	ruuvimeisseli			
n	a₍elia | ajelia	aelia | ajelia	ajelija			
			kiinniottaja lasten leikeissä			
v	a₍ella | ajella | aj̆ella	aella | ajella | ajella	ajella			
			pyytää saaliiksi			
			tavoitella			
			ottaa kiinni			
pr n	Agaffona	Agaffona	?			
adj	aGaniGaZ | ak̆kāna	akanikaz | akkaana	akanainen			
n	aGatšu(pū) | aGatšu(pū)	akatšu | akatšupuu	jokin puulaji			
n	aGonhammaZ	akonhammaz	pärepihti			
			verkonkorjausteline			
pr n	Agraffē	Agraffee	?			
adj	agrama∙tnoi	agramatnoi	?			
int	ah	ah	ah			
int	ahah	ahah	?			
adj	ahaZ	ahaz	ahdas			
n	ahassoZ	ahassoz	ahtaus			
v	ahavoja	ahavoja	ahavoida			
v	ahavoittā	ahavoittaa	?			
n	*ahe	ahe	?			
int	ahhah	ahhah	?			
adj, n	ah̭̄h̭āva	ahhaava	kuivatuulinen | ahavainen | kuiva tuuli			
n	ahilo [Ro] | ahilōsse	ahilo | ahiloosse	ahelaisse			
v	ahissella	ahissella	väkisin tarjoilla			
n	ahissoZ	ahissoz	?			
v	ahistā	ahistaa	"puristaa | likistää ""(Siemenvoita puristettiin pellavansiemenrouheista)"""			
			työntää | tunkea väkisin			
			olla ahdasta			
			ahdistaa henkeä			
			pakottaa			
v	ahistua	ahistua	ahdistua | puristua	pigistus		
adj	ahkera | ah̭kera	ahkera | ahkera	ahkera			
n	ahl'e [Ro]	ahl'e	?			
n	ahmari | ah̭mari	ahmari | ahmari	?			
v	ahmastā	ahmastaa	?			
v	ahmia	ahmia	ahmia			
n	ahmo	ahmo	ahne			
